;image_id;face_sunglasses;user_posted_photos;post_graduate;face_mustache;user_followed_by;face_beard;born;eyeglasses;college;female;income;emotion_score;PERMA;high_school;insta_user_id;user_follows
0;1006128472675277355_183823541;False;1344.0;False;False;148.0;False;1977;False;True;True;55000;0.13406;6;False;183823541;180.0
1;1007400161941294237_48972978;False;210.0;False;False;819.0;False;1992;False;False;True;55000;0.1844;5;True;48972978;210.0
2;1009571600693736484_30837828;False;552.0;False;False;1617.0;False;1989;False;True;False;15000;0.1518;8;False;30837828;1459.0
3;1012685343604174889_25469443;False;947.0;False;False;349.0;False;1994;True;True;True;35000;0.21906;6;False;25469443;1086.0
4;1014647875767988286_8854187;False;599.0;False;False;177.0;False;1985;False;False;True;45000;0.16098;7;True;8854187;411.0
5;1021130317134537684_265063047;True;384.0;False;False;389.0;False;1993;True;False;True;85000;0.1213;4;True;265063047;32.0
6;1023345717026613642_289794729;False;820.0;False;True;598.0;True;1990;False;True;True;25000;0.1498;6;False;289794729;398.0
7;1026136880078994643_22180590;False;1365.0;False;True;890.0;True;1994;False;True;True;45000;0.20466;4;False;22180590;115.0
8;1027290159832173210_11520833;False;312.0;False;False;201.0;False;1978;False;False;True;95000;0.13312;7;True;11520833;299.0
9;1027300326716017486_11520833;False;312.0;False;False;201.0;False;1978;False;False;True;95000;0.19988;7;True;11520833;299.0
10;1028000946151923639_1600397470;False;448.0;True;False;469.0;False;1989;False;False;False;25000;0.1809;9;False;1600397470;125.0
11;1028006517437537284_1600397470;False;448.0;True;False;469.0;False;1989;False;False;False;25000;0.15322;9;False;1600397470;125.0
12;1030080175045846941_481709584;False;178.0;False;False;328.0;False;1997;False;False;True;15000;0.20352;9;True;481709584;432.0
13;1030903895320600331_1600397470;False;448.0;True;False;469.0;False;1989;False;False;False;25000;0.19322;9;False;1600397470;125.0
14;1031423671171576492_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.11828;9;False;2062266819;339.0
15;1031430742172529532_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.1118;9;False;2062266819;339.0
16;1031436037347110931_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.1614;9;False;2062266819;339.0
17;1031441895741223082_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.22646;9;False;2062266819;339.0
18;1031479284832432253_2062266819;False;272.0;False;True;3963.0;True;1985;True;True;True;25000;0.2089;9;False;2062266819;339.0
19;1033448185706178736_289794729;False;820.0;False;False;598.0;False;1990;False;True;True;25000;0.2148;6;False;289794729;398.0
20;1034999356014667088_288335200;False;678.0;False;False;1077.0;False;1991;False;True;True;35000;0.18368;7;False;288335200;481.0
21;1048031122180496587_2010977006;False;32.0;False;False;98.0;False;1996;True;False;True;35000;0.18884;5;True;2010977006;151.0
22;1049614900859419895_31447990;False;377.0;False;False;191.0;False;1991;False;True;True;95000;0.22414;8;False;31447990;223.0
23;1050629191485116710_2032642067;False;181.0;False;True;3168.0;True;1986;False;True;False;5000;0.18728;10;False;2032642067;3420.0
24;1052429122964614990_452851338;False;1207.0;False;False;287.0;False;1988;False;False;True;25000;0.14912;6;True;452851338;611.0
25;1053095745789661768_6734387;False;465.0;False;False;1047.0;True;1992;True;True;True;55000;0.1852;6;False;6734387;888.0
26;1054776337246010637_22180590;False;1365.0;False;False;890.0;False;1994;False;True;True;45000;0.2288;4;False;22180590;115.0
27;1055064758141140718_22180590;False;1365.0;False;True;890.0;True;1994;False;True;True;45000;0.124;4;False;22180590;115.0
28;1055480160994279013_22180590;False;1365.0;False;True;890.0;True;1994;False;True;True;45000;0.16772;4;False;22180590;115.0
29;1055846418234151606_372088523;False;1312.0;False;False;997.0;False;1981;True;True;True;55000;0.14922;6;False;372088523;816.0
30;1056872234833369923_183823541;True;1344.0;False;False;148.0;False;1977;False;True;True;55000;0.16606;6;False;183823541;180.0
31;1058108940248856821_50853245;True;653.0;True;False;328.0;False;1986;True;False;True;75000;0.23422;5;False;50853245;885.0
32;1059770510495792711_22180590;False;1365.0;False;False;890.0;False;1994;False;True;True;45000;0.17452;4;False;22180590;115.0
33;1061061032364273187_452851338;False;1207.0;False;False;287.0;False;1988;False;False;True;25000;0.15218;6;True;452851338;611.0
34;1061261001833966145_289794729;False;820.0;False;True;598.0;True;1990;False;True;True;25000;0.11464;6;False;289794729;398.0
35;1062028352498867695_235671446;False;2997.0;False;True;1318.0;True;1987;False;True;False;55000;0.17886;6;False;235671446;936.0
